punk id,image url,gender,traits,traits,traits,traits,traits,traits,traits,traits,traits,traits,traits,traits
9624,https://ipfs.unique.network/ipfs/QmYwxjAntexmjU3we8gRaheBH9AFXM1aLYkrCM6nN16MES,Male,Teeth Smile,Asian Eyes,Left Earring,Orange Hair,Pipe,Enum,,,,,,
9799,https://ipfs.unique.network/ipfs/QmeMPMoTjx9jgbGnospbzjgsjM83j6rpsBBNrrEUqcwX6j,Male,Teeth Smile,Nose Ring,Sunglasses,Two Earrings,Mustache Beard,Enum,Orange Hair,Pipe,,,,
7211,https://ipfs.unique.network/ipfs/QmVGw3PYtiewLag26GraAibyXMJUwZhMkVKLgvXaZBCFtG,Male,Smile,Asian Eyes,Left Earring,Bald,Cigar,Enum,,,,,,
4102,https://ipfs.unique.network/ipfs/QmXoj5rAkHNjUwKKCVttYpUAD86ZZHTLYhbcFoZ6a4sSTN,Male,Teeth Smile,Sunglasses,Mustache,Up Hair,Cigar,Enum,,,,,,
3369,https://ipfs.unique.network/ipfs/QmWMiTC8mttSkJLnjy5HoyqyfpbSnszQTvBJRYUUKGwPDt,Female,Red Lipstick,Asian Eyes,Caret Hair,,,Enum,,,,,,
8144,https://ipfs.unique.network/ipfs/QmVk2X9P21F2XVeEsKDFycTtRzaMUfJGPnbWbddGEiYndh,Male,Sunglasses,Two Earrings,Up Hair,Pipe,,Enum,,,,,,
6070,https://ipfs.unique.network/ipfs/QmP9xdngYfFtSpWQRQQHkD92sW17JYPCApNZL5NhDDxeNb,Male,Teeth Smile,Sunglasses,Brown Beard,Bubble Hair,Cigar,Enum,,,,,,
3787,https://ipfs.unique.network/ipfs/QmYM6AQ5QuYFLwQhHQ6VDjMPRfJT9y4brb38HPn9AcvNR1,Female,Asian Eyes,Left Earring,Pony Tails,,,Enum,,,,,,
9852,https://ipfs.unique.network/ipfs/QmTGsNAF59rymWA3McwCkxdJ54CxLwwnzEmBZYDYFvrKoD,Female,Sunglasses,Right Earring,Orange Hair,Pipe,,Enum,,,,,,
8778,https://ipfs.unique.network/ipfs/QmbCC2wd4MCtZvj8dYPhgCZbfwwFbCDHoJVPGYcuvQj8cG,Male,Smile,Nose Ring,Asian Eyes,Two Earrings,Brown Beard,Enum,Mahawk,Pipe,,,,
5833,https://ipfs.unique.network/ipfs/QmVP8wJHRnhG8KtteCDXXhziTxy9AxHfZEf9tG7L5UzS51,Male,Teeth Smile,Sunglasses,Mustache,Orange Hair,Cigar,Enum,,,,,,
6444,https://ipfs.unique.network/ipfs/QmQH59eRnra3rB53D8q4TdxsuheWPsRekpThK7qZLRB2TZ,Female,Smile,Nose Ring,Red Glasses,Two Earrings,Emo Hair,Enum,Cigar,,,,,
1240,https://ipfs.unique.network/ipfs/QmcP26Nq6N1BJnrFNRnLXkv9MGTS81NBBiHq9r7h1JNpJP,Female,Asian Eyes,Left Earring,Red Mahawk,,,Enum,,,,,,
233,https://ipfs.unique.network/ipfs/QmeTsnUWj3DAz5wJCZ6rwnbGCQJ3yyPzuyuHUbsm9FxDqH,Male,Smile,Nose Ring,Sunglasses,Left Earring,Regular Beard,Enum,Up Hair,,,,,
8855,https://ipfs.unique.network/ipfs/QmdHsY9hxH7qxkgen3SrJ48qzvGFTQz5hT9csLkw5HzGNi,Male,Teeth Smile,Nose Ring,Asian Eyes,Left Earring,Mustache Beard,Enum,Mahawk,Pipe,,,,
2902,https://ipfs.unique.network/ipfs/QmeFmP796muKn5jPrw2gEHzx35zaDtLmUhqSkFHS2zRgsY,Male,Smile,Sunglasses,Two Earrings,Thin Hair,,Enum,,,,,,
7334,https://ipfs.unique.network/ipfs/QmTSCAtUBT8jawjXQ1wbZ1qGg2vi7uZnLt3KJZFR1xSCvT,Female,Purple Lipstick,Round Eyes,Blonde Hair,Cigar,,Enum,,,,,,
590,https://ipfs.unique.network/ipfs/QmSWGPNBdWMjzziMreagNurTK5FddjEc9fpwdEXVpCqQ8b,Female,Purple Lipstick,Nose Ring,Asian Eyes,Right Earring,Down Hair,Enum,,,,,,
9057,https://ipfs.unique.network/ipfs/QmUbyWsdtbWiXrvB34baDD8tStxQLfobCvavf7S9EYAQuA,Male,Smile,Nose Ring,Asian Eyes,Regular Beard,Mahawk,Enum,Pipe,,,,,
9555,https://ipfs.unique.network/ipfs/QmSnbBXAeYMcYY1c2AdWeU8MYCcwicSe96QqyKCGSE4Jqx,Female,Nose Ring,Left Earring,Red Mahawk,Pipe,,Enum,,,,,,
4037,https://ipfs.unique.network/ipfs/QmUghbJ9t945xrzPvpApgxKusVE8ap9fvcgYNQwwKxjGoC,Male,Nose Ring,Two Earrings,Up Hair,Cigar,,Enum,,,,,,
4191,https://ipfs.unique.network/ipfs/QmVhuCh7L12gA1SebUqbj8pi6w9UiJbMm8kQ7HJ6mX8gBs,Male,Teeth Smile,Asian Eyes,Right Earring,Regular Beard,Up Hair,Enum,Cigar,,,,,
2350,https://ipfs.unique.network/ipfs/QmYYptWaqWrqa85XTgNRVxgErfM4ns2A11d7BZCCrLbLVG,Male,Teeth Smile,Right Earring,Brown Beard,Emo Hair,,Enum,,,,,,
